"Data Source","世界发展指标",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"阿鲁巴","ABW","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","53.6699193890539","54.0567841552726","54.383281458426","54.7102919128671","55.1199326693786","55.6311018131102","56.0755436195097","56.7031263457067","57.4144486692015","58.0867077614685","58.6797148807206","59.5524899057874","60.2489973262032","60.8900619159072","61.6392413428496","62.5665628039633","63.0789291255405","63.850511877547","64.8253830923581","65.81027009003","66.6350505857295","67.185100797464","67.578449751406","67.8043761354319","67.9451269972627","68.1544124646971","67.7558904284528","67.567480148141","67.6140735768431","67.7497050727487","67.7967465285041","68.5231035870137","69.0217630248406","69.2982456140351","69.4719687092568","69.6678452268313","69.4507211538461","69.3262805584487","69.2794206950285","69.2612774563227","69.2404213399668","69.3233438825378","69.4216355061479","69.5548202892277","69.7347498911249","69.9353200507843","69.8573893726323","69.6903835134655","69.4459243473628","69.1597259868907","68.8380922405059","68.8856006114889","68.9869344773791","69.1088513847556","69.1811050937614","69.1597742018957","69.1376153787474","68.9463394263804","68.6466058859653","68.3211994657336","",
"阿富汗","AFG","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","55.0608410184181","54.7379275220543","54.5585327437771","54.4650251147282","54.3910324921617","54.3093030356598","53.9555920115076","53.6516413674482","53.393648227899","53.1902620358634","53.0431438558708","52.6932681041999","52.435300348607","52.2524265703017","52.1368167921405","52.098050619584","51.8164630355356","51.5840418558342","51.4111026610954","51.3305067102844","51.3855003001907","51.0823568122288","50.8326859448704","50.6290054100702","50.4324953876882","50.184634075734","49.9905037235714","49.9205138267508","49.8952358860235","49.7877768890856","49.4592383624383","49.5403081295407","49.609845566056","49.6283557221484","49.6618855525156","49.8129416287879","49.5590591784405","49.3043750399724","49.1036649792922","48.9534200948656","48.8146821121299","48.9054698415161","49.0987475205491","49.3429401308761","49.6124348901778","49.9128702789013","49.7584368719628","49.6031296207573","49.4856807572365","49.4439988035843","49.4937230317774","49.9439477089217","50.5239466960637","51.1931217965001","51.9078359358186","52.6442988256708","53.2079642015981","53.7632225246819","54.3248975483403","54.9119343971364","",
"安哥拉","AGO","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","54.8609854603164","54.164117616432","53.4389437249166","52.8384574725264","52.5101463912047","52.4732912000028","52.4250788848155","52.5921233311449","52.7151325131869","52.5581165325523","52.0805586750566","51.9567433129877","51.6390357317983","51.2856932209239","51.1020235514052","51.1540148063781","50.8624414091665","50.9395406129894","51.1890897706717","51.3537055474967","51.327594572014","51.1554496145222","50.8201319118279","50.4306055897676","50.1509867023119","50.0480576334243","49.8255978060701","49.7680660476647","49.8190376805309","49.8980905520902","49.9704601116135","49.8515826032066","49.7845997342575","49.764371819945","49.7952383142249","49.878445682337","49.8431224163182","49.8728110078492","49.956245608203","50.0804727132996","50.2332869567105","50.2413082499196","50.2959830227227","50.38343172762","50.4863247405327","50.5896230662746","50.549459275259","50.5390889409574","50.5456950462936","50.5645994202524","50.5976302869905","50.5080352679062","50.4679776282642","50.4717924862605","50.5197967810515","50.6151669639","50.6856291078069","50.8077871356001","50.9747016426956","51.17863322241","",
"阿尔巴尼亚","ALB","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","54.4334358134332","54.0673548699358","53.693762854739","53.3519716872755","53.1102702597153","53.0089322112826","52.9532864777727","53.0619290152796","53.291853933955","53.5809144894413","53.8947425195529","54.2746785130613","54.6391926376275","55.0229589513895","55.4750924816626","56.0080887926188","56.4727221242499","57.0333328701287","57.6374448568708","58.2116113956015","58.7200161032397","59.1733143930675","59.5686088288789","59.9195886210658","60.2482662681551","60.5582030608094","60.8179062430606","61.0436065991358","61.2463319792676","61.4611754414236","61.7303389182164","61.4569891735599","61.2324955343472","61.0713135551182","60.9469067245423","60.8253108962086","61.2176073837416","61.5670543966098","61.8880039811205","62.2227196554773","62.608145164821","63.0173652204809","63.4747697434606","63.9726839731458","64.4856246207598","64.9983964027588","65.5224041885446","65.9611838900355","66.333786040328","66.6470907970541","66.8995119780273","67.5137062451854","68.0118980294403","68.3729539670568","68.5990253098344","68.7047247322534","68.660092473838","68.6426142157412","68.5823903647225","68.3978052821376","",
"安道尔共和国","AND","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"阿拉伯联盟国家","ARB","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","53.215227490414","52.8186400753089","52.470732816242","52.1826215017969","51.9768262565354","51.8616350877211","51.6289340218673","51.5181364212222","51.4927601644029","51.514430918429","51.5669998887389","51.4886136667318","51.4767999193523","51.516294127196","51.5903053963387","51.6832594798957","51.7318568568586","51.8086412567671","51.908074154908","52.0322512416769","52.1832850998735","52.2689203449256","52.3908238069447","52.5410568632856","52.7105282516133","52.894714280457","52.972536348295","53.0910507405297","53.2380531844555","53.4129073376385","53.5864850437113","53.8266742796665","54.0147402463903","54.3542115357791","54.7435898353446","55.2569842715494","55.667448963287","56.1064373597463","56.5628008529237","57.029616165854","57.5070341846961","58.0118451600127","58.5282943602738","59.0470818575919","59.5567119384107","60.0466227616084","60.5309407190183","60.9894837719875","61.4037728109325","61.7572971448342","62.0426845921218","62.2712064777934","62.4394251887773","62.5559263930238","62.6416126509913","62.714050957459","62.6594559433802","62.6496278095128","62.6616874900514","62.672706140335","",
"阿拉伯联合酋长国","ARE","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","52.0028565863793","53.4207706655026","54.9670882463119","56.5076320626548","57.9857866255189","59.3792749087463","60.7091063659549","61.8374162842888","62.7278551364256","63.3792207024903","63.7642102390476","66.3467533544046","68.3361835068616","69.6386940480052","70.2785960453609","70.3591640358125","71.1017961443562","71.4547205117605","71.3333684417145","70.919743407291","70.4400843935659","69.7475857415125","69.0489231683216","68.2949125693247","67.5129504447936","66.7739012300134","66.6385735422227","66.7099435552866","66.9268486957505","67.2702544676565","67.7351960586995","68.5159613102321","69.3030950011472","70.0890739156584","70.86844622851","71.6122794595647","71.9885897745917","72.3821780799457","72.6279977278657","72.7420858965204","72.8641296821824","75.0646058595963","77.0026650170448","78.5984764807114","79.8433847764694","80.7711260890649","82.655154340216","84.0634978581055","85.0100296396622","85.6491143778516","86.1581092277556","85.8338930320941","85.6154111382739","85.4101529586613","85.1672016214148","84.9027410422222","84.6274962664165","84.4608995928516","84.3114896450084","84.130838770347","",
"阿根廷","ARG","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","63.4179970401985","63.3770784309525","63.3926489662106","63.4477771606119","63.517091515584","63.5856477877584","63.5883779855415","63.600281730996","63.6141796881053","63.6220022518444","63.6156663153768","63.5278272347962","63.4278546272438","63.3133714961855","63.1787180907681","63.0181518621363","62.7209140670698","62.3886151806443","62.0455113950321","61.7307443374178","61.4662548687063","61.1206197643031","60.9125206618975","60.7854262553812","60.6659433724742","60.5253247760917","60.4847577266777","60.3710571450515","60.2505722561238","60.213211752819","60.2915951367823","60.2888660479458","60.4059025821157","60.5994487330347","60.8020853729036","60.9831926282661","61.1357554113226","61.2915389945809","61.4496407568669","61.6205765956701","61.8091688685679","62.0204389717985","62.2134338828062","62.402148631685","62.60526740485","62.8286101656879","62.9922902789365","63.1997872206121","63.4237887273903","63.6213345780434","63.7690168895782","63.8807226437241","63.9471288794812","63.9826922106179","64.0154698523561","64.0600197569769","64.0605666116429","64.0835225051061","64.1212772887989","64.1613658498285","",
"亚美尼亚","ARM","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","54.9970893021315","54.1164218034378","53.4628564148959","53.0230874604949","52.7675278473064","52.6938899362778","52.8086135795862","53.1497434726716","53.6865567773348","54.3561971766938","55.1051298420478","56.1382118848031","57.0919069182029","58.0043173328084","58.944071343179","59.9321368319719","60.7161112397342","61.5813567732187","62.440394513009","63.183441457816","63.770318547859","64.1887667974547","64.4436261639753","64.5748542191907","64.6515292949627","64.7045810176442","64.7273620213521","64.7158255906015","64.6416669924235","64.4965013174139","64.3240533032462","63.8979498798662","63.4440633934363","63.0060348939136","62.6364061885691","62.3612366458338","62.501258592756","62.8135683346372","63.2514949237411","63.7275810920091","64.1731422850797","64.7607899466579","65.2066033438608","65.5908416756905","66.0447159348423","66.6385354692918","67.1672006995893","67.859946300541","68.598832446353","69.198869011098","69.5454692371614","69.6953073451489","69.6796445780752","69.5219955355972","69.2929118128669","69.0425707549991","68.7610582999534","68.4489663273217","68.11276041799","67.7503802746092","",
"美属萨摩亚","ASM","15-64岁的人口（占总人口的百分比）","SP.POP.1564.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
